timestamp,layer,percentile,stat,value
1765426374.430471,0,0.9,p9000,0.0034356117248535156
1765426374.430471,0,0.95,p9500,0.0052700042724609375
1765426374.430471,0,0.99,p9900,0.01709747314453125
1765426374.430471,0,0.999,p9990,0.14537429809570312
1765426374.430471,0,0.9999,p9999,1.3017425537109375
1765426374.430471,0,,max,2.21142578125
1765426374.430471,1,0.9,p9000,0.0173492431640625
1765426374.430471,1,0.95,p9500,0.027133941650390625
1765426374.430471,1,0.99,p9900,0.07740974426269531
1765426374.430471,1,0.999,p9990,0.4607582092285156
1765426374.430471,1,0.9999,p9999,83.994140625
1765426374.430471,1,,max,1480.25
1765426374.430471,2,0.9,p9000,0.0024242401123046875
1765426374.430471,2,0.95,p9500,0.0040493011474609375
1765426374.430471,2,0.99,p9900,0.014097213745117188
1765426374.430471,2,0.999,p9990,0.07577228546142578
1765426374.430471,2,0.9999,p9999,0.3826751708984375
1765426374.430471,2,,max,4.625
1765426374.430471,3,0.9,p9000,0.004329681396484375
1765426374.430471,3,0.95,p9500,0.007095813751220703
1765426374.430471,3,0.99,p9900,0.018321990966796875
1765426374.430471,3,0.999,p9990,0.04796648025512695
1765426374.430471,3,0.9999,p9999,0.1181793212890625
1765426374.430471,3,,max,2.34912109375
1765426374.430471,4,0.9,p9000,0.00931549072265625
1765426374.430471,4,0.95,p9500,0.01493072509765625
1765426374.430471,4,0.99,p9900,0.03786468505859375
1765426374.430471,4,0.999,p9990,0.11327838897705078
1765426374.430471,4,0.9999,p9999,5.75830078125
1765426374.430471,4,,max,11.412109375
1765426374.430471,5,0.9,p9000,0.009044647216796875
1765426374.430471,5,0.95,p9500,0.013286590576171875
1765426374.430471,5,0.99,p9900,0.027667999267578125
1765426374.430471,5,0.999,p9990,0.06597328186035156
1765426374.430471,5,0.9999,p9999,0.14200973510742188
1765426374.430471,5,,max,2.5390625
1765426374.430471,6,0.9,p9000,0.008487701416015625
1765426374.430471,6,0.95,p9500,0.012310028076171875
1765426374.430471,6,0.99,p9900,0.026737213134765625
1765426374.430471,6,0.999,p9990,0.07436847686767578
1765426374.430471,6,0.9999,p9999,0.15920257568359375
1765426374.430471,6,,max,4.3125
1765426374.430471,7,0.9,p9000,0.0097808837890625
1765426374.430471,7,0.95,p9500,0.013759613037109375
1765426374.430471,7,0.99,p9900,0.02770233154296875
1765426374.430471,7,0.999,p9990,0.07601642608642578
1765426374.430471,7,0.9999,p9999,0.1688251495361328
1765426374.430471,7,,max,2.80615234375
1765426374.430471,8,0.9,p9000,0.0098876953125
1765426374.430471,8,0.95,p9500,0.0140533447265625
1765426374.430471,8,0.99,p9900,0.030457019805908203
1765426374.430471,8,0.999,p9990,0.09206867218017578
1765426374.430471,8,0.9999,p9999,0.2060070037841797
1765426374.430471,8,,max,7.8447265625
1765426374.430471,9,0.9,p9000,0.010084152221679688
1765426374.430471,9,0.95,p9500,0.014766693115234375
1765426374.430471,9,0.99,p9900,0.0323486328125
1765426374.430471,9,0.999,p9990,0.10189247131347656
1765426374.430471,9,0.9999,p9999,0.2441234588623047
1765426374.430471,9,,max,6.0107421875
1765426374.430471,10,0.9,p9000,0.01070404052734375
1765426374.430471,10,0.95,p9500,0.015790939331054688
1765426374.430471,10,0.99,p9900,0.03833770751953125
1765426374.430471,10,0.999,p9990,0.11769771575927734
1765426374.430471,10,0.9999,p9999,0.43233489990234375
1765426374.430471,10,,max,2.34765625
1765426374.430471,11,0.9,p9000,0.010816574096679688
1765426374.430471,11,0.95,p9500,0.01666259765625
1765426374.430471,11,0.99,p9900,0.041778564453125
1765426374.430471,11,0.999,p9990,0.13063430786132812
1765426374.430471,11,0.9999,p9999,0.3500938415527344
1765426374.430471,11,,max,6.2890625
1765426374.430471,12,0.9,p9000,0.01026153564453125
1765426374.430471,12,0.95,p9500,0.015478134155273438
1765426374.430471,12,0.99,p9900,0.039467811584472656
1765426374.430471,12,0.999,p9990,0.12403106689453125
1765426374.430471,12,0.9999,p9999,0.2885932922363281
1765426374.430471,12,,max,4.29833984375
1765426374.430471,13,0.9,p9000,0.010644912719726562
1765426374.430471,13,0.95,p9500,0.016523361206054688
1765426374.430471,13,0.99,p9900,0.046036720275878906
1765426374.430471,13,0.999,p9990,0.1479206085205078
1765426374.430471,13,0.9999,p9999,0.4284477233886719
1765426374.430471,13,,max,4.798828125
1765426374.430471,14,0.9,p9000,0.01068878173828125
1765426374.430471,14,0.95,p9500,0.01659393310546875
1765426374.430471,14,0.99,p9900,0.050484657287597656
1765426374.430471,14,0.999,p9990,0.15845489501953125
1765426374.430471,14,0.9999,p9999,0.3652076721191406
1765426374.430471,14,,max,5.6689453125
1765426374.430471,15,0.9,p9000,0.011892318725585938
1765426374.430471,15,0.95,p9500,0.019115447998046875
1765426374.430471,15,0.99,p9900,0.06201171875
1765426374.430471,15,0.999,p9990,0.22485733032226562
1765426374.430471,15,0.9999,p9999,0.486358642578125
1765426374.430471,15,,max,6.86328125
1765426374.430471,16,0.9,p9000,0.012624740600585938
1765426374.430471,16,0.95,p9500,0.02075958251953125
1765426374.430471,16,0.99,p9900,0.0653839111328125
1765426374.430471,16,0.999,p9990,0.23435211181640625
1765426374.430471,16,0.9999,p9999,1.1578216552734375
1765426374.430471,16,,max,18.44140625
1765426374.430471,17,0.9,p9000,0.010768890380859375
1765426374.430471,17,0.95,p9500,0.01854705810546875
1765426374.430471,17,0.99,p9900,0.0632476806640625
1765426374.430471,17,0.999,p9990,0.22801780700683594
1765426374.430471,17,0.9999,p9999,0.7663421630859375
1765426374.430471,17,,max,8.47265625
1765426374.430471,18,0.9,p9000,0.011180877685546875
1765426374.430471,18,0.95,p9500,0.02028656005859375
1765426374.430471,18,0.99,p9900,0.073822021484375
1765426374.430471,18,0.999,p9990,0.24231719970703125
1765426374.430471,18,0.9999,p9999,0.697723388671875
1765426374.430471,18,,max,29.875
1765426374.430471,19,0.9,p9000,0.01219940185546875
1765426374.430471,19,0.95,p9500,0.021846771240234375
1765426374.430471,19,0.99,p9900,0.075103759765625
1765426374.430471,19,0.999,p9990,0.2498493194580078
1765426374.430471,19,0.9999,p9999,1.2140960693359375
1765426374.430471,19,,max,15.90625
1765426374.430471,20,0.9,p9000,0.012887954711914062
1765426374.430471,20,0.95,p9500,0.0225830078125
1765426374.430471,20,0.99,p9900,0.0749664306640625
1765426374.430471,20,0.999,p9990,0.2154560089111328
1765426374.430471,20,0.9999,p9999,0.5738906860351562
1765426374.430471,20,,max,6.3056640625
1765426374.430471,21,0.9,p9000,0.013713836669921875
1765426374.430471,21,0.95,p9500,0.024200439453125
1765426374.430471,21,0.99,p9900,0.07844734191894531
1765426374.430471,21,0.999,p9990,0.21604156494140625
1765426374.430471,21,0.9999,p9999,0.5258026123046875
1765426374.430471,21,,max,12.8291015625
1765426374.430471,22,0.9,p9000,0.013883590698242188
1765426374.430471,22,0.95,p9500,0.023952484130859375
1765426374.430471,22,0.99,p9900,0.0736846923828125
1765426374.430471,22,0.999,p9990,0.21039581298828125
1765426374.430471,22,0.9999,p9999,0.521270751953125
1765426374.430471,22,,max,10.556640625
1765426374.430471,23,0.9,p9000,0.013957977294921875
1765426374.430471,23,0.95,p9500,0.023708343505859375
1765426374.430471,23,0.99,p9900,0.0747833251953125
1765426374.430471,23,0.999,p9990,0.2247447967529297
1765426374.430471,23,0.9999,p9999,0.5869369506835938
1765426374.430471,23,,max,11.43359375
1765426374.430471,24,0.9,p9000,0.013895034790039062
1765426374.430471,24,0.95,p9500,0.023761749267578125
1765426374.430471,24,0.99,p9900,0.0745086669921875
1765426374.430471,24,0.999,p9990,0.20754432678222656
1765426374.430471,24,0.9999,p9999,0.5251121520996094
1765426374.430471,24,,max,10.115234375
1765426374.430471,25,0.9,p9000,0.015325546264648438
1765426374.430471,25,0.95,p9500,0.027133941650390625
1765426374.430471,25,0.99,p9900,0.0881805419921875
1765426374.430471,25,0.999,p9990,0.259429931640625
1765426374.430471,25,0.9999,p9999,0.7088623046875
1765426374.430471,25,,max,8.9912109375
1765426374.430471,26,0.9,p9000,0.017375946044921875
1765426374.430471,26,0.95,p9500,0.03133392333984375
1765426374.430471,26,0.99,p9900,0.10299873352050781
1765426374.430471,26,0.999,p9990,0.3031883239746094
1765426374.430471,26,0.9999,p9999,0.659698486328125
1765426374.430471,26,,max,10.4130859375
1765426374.430471,27,0.9,p9000,0.019321441650390625
1765426374.430471,27,0.95,p9500,0.0361480712890625
1765426374.430471,27,0.99,p9900,0.131683349609375
1765426374.430471,27,0.999,p9990,0.4258918762207031
1765426374.430471,27,0.9999,p9999,1.184722900390625
1765426374.430471,27,,max,11.5810546875
1765426374.430471,28,0.9,p9000,0.0224761962890625
1765426374.430471,28,0.95,p9500,0.04412841796875
1765426374.430471,28,0.99,p9900,0.169647216796875
1765426374.430471,28,0.999,p9990,0.5531997680664062
1765426374.430471,28,0.9999,p9999,0.97552490234375
1765426374.430471,28,,max,8.3291015625
1765426374.430471,29,0.9,p9000,0.027759552001953125
1765426374.430471,29,0.95,p9500,0.05605316162109375
1765426374.430471,29,0.99,p9900,0.26807403564453125
1765426374.430471,29,0.999,p9990,0.6925582885742188
1765426374.430471,29,0.9999,p9999,2.0592041015625
1765426374.430471,29,,max,37.9609375
1765426374.430471,30,0.9,p9000,0.05037689208984375
1765426374.430471,30,0.95,p9500,0.106353759765625
1765426374.430471,30,0.99,p9900,0.49420166015625
1765426374.430471,30,0.999,p9990,1.3466033935546875
1765426374.430471,30,0.9999,p9999,35.574951171875
1765426374.430471,30,,max,2255.75
1765426374.430471,31,0.9,p9000,0.37109375
1765426374.430471,31,0.95,p9500,0.664794921875
1765426374.430471,31,0.99,p9900,2.177734375
1765426374.430471,31,0.999,p9990,8.2557373046875
1765426374.430471,31,0.9999,p9999,19.081787109375
1765426374.430471,31,,max,72.3125
1765428802.0378056,0,0.9,p9000,0.0034356117248535156
1765428802.0378056,0,0.95,p9500,0.0052700042724609375
1765428802.0378056,0,0.99,p9900,0.01709747314453125
1765428802.0378056,0,0.999,p9990,0.14537429809570312
1765428802.0378056,0,0.9999,p9999,1.3017425537109375
1765428802.0378056,0,,max,2.21142578125
1765428802.0378056,1,0.9,p9000,0.0173492431640625
1765428802.0378056,1,0.95,p9500,0.027133941650390625
1765428802.0378056,1,0.99,p9900,0.07740974426269531
1765428802.0378056,1,0.999,p9990,0.4607582092285156
1765428802.0378056,1,0.9999,p9999,83.994140625
1765428802.0378056,1,,max,1480.25
1765428802.0378056,2,0.9,p9000,0.0024242401123046875
1765428802.0378056,2,0.95,p9500,0.0040493011474609375
1765428802.0378056,2,0.99,p9900,0.014097213745117188
1765428802.0378056,2,0.999,p9990,0.07577228546142578
1765428802.0378056,2,0.9999,p9999,0.3826751708984375
1765428802.0378056,2,,max,4.625
1765428802.0378056,3,0.9,p9000,0.004329681396484375
1765428802.0378056,3,0.95,p9500,0.007095813751220703
1765428802.0378056,3,0.99,p9900,0.018321990966796875
1765428802.0378056,3,0.999,p9990,0.04796648025512695
1765428802.0378056,3,0.9999,p9999,0.1181793212890625
1765428802.0378056,3,,max,2.34912109375
1765428802.0378056,4,0.9,p9000,0.00931549072265625
1765428802.0378056,4,0.95,p9500,0.01493072509765625
1765428802.0378056,4,0.99,p9900,0.03786468505859375
1765428802.0378056,4,0.999,p9990,0.11327838897705078
1765428802.0378056,4,0.9999,p9999,5.75830078125
1765428802.0378056,4,,max,11.412109375
1765428802.0378056,5,0.9,p9000,0.009044647216796875
1765428802.0378056,5,0.95,p9500,0.013286590576171875
1765428802.0378056,5,0.99,p9900,0.027667999267578125
1765428802.0378056,5,0.999,p9990,0.06597328186035156
1765428802.0378056,5,0.9999,p9999,0.14200973510742188
1765428802.0378056,5,,max,2.5390625
1765428802.0378056,6,0.9,p9000,0.008487701416015625
1765428802.0378056,6,0.95,p9500,0.012310028076171875
1765428802.0378056,6,0.99,p9900,0.026737213134765625
1765428802.0378056,6,0.999,p9990,0.07436847686767578
1765428802.0378056,6,0.9999,p9999,0.15920257568359375
1765428802.0378056,6,,max,4.3125
1765428802.0378056,7,0.9,p9000,0.0097808837890625
1765428802.0378056,7,0.95,p9500,0.013759613037109375
1765428802.0378056,7,0.99,p9900,0.02770233154296875
1765428802.0378056,7,0.999,p9990,0.07601642608642578
1765428802.0378056,7,0.9999,p9999,0.1688251495361328
1765428802.0378056,7,,max,2.80615234375
1765428802.0378056,8,0.9,p9000,0.0098876953125
1765428802.0378056,8,0.95,p9500,0.0140533447265625
1765428802.0378056,8,0.99,p9900,0.030457019805908203
1765428802.0378056,8,0.999,p9990,0.09206867218017578
1765428802.0378056,8,0.9999,p9999,0.2060070037841797
1765428802.0378056,8,,max,7.8447265625
1765428802.0378056,9,0.9,p9000,0.010084152221679688
1765428802.0378056,9,0.95,p9500,0.014766693115234375
1765428802.0378056,9,0.99,p9900,0.0323486328125
1765428802.0378056,9,0.999,p9990,0.10189247131347656
1765428802.0378056,9,0.9999,p9999,0.2441234588623047
1765428802.0378056,9,,max,6.0107421875
1765428802.0378056,10,0.9,p9000,0.01070404052734375
1765428802.0378056,10,0.95,p9500,0.015790939331054688
1765428802.0378056,10,0.99,p9900,0.03833770751953125
1765428802.0378056,10,0.999,p9990,0.11769771575927734
1765428802.0378056,10,0.9999,p9999,0.43233489990234375
1765428802.0378056,10,,max,2.34765625
1765428802.0378056,11,0.9,p9000,0.010816574096679688
1765428802.0378056,11,0.95,p9500,0.01666259765625
1765428802.0378056,11,0.99,p9900,0.041778564453125
1765428802.0378056,11,0.999,p9990,0.13063430786132812
1765428802.0378056,11,0.9999,p9999,0.3500938415527344
1765428802.0378056,11,,max,6.2890625
1765428802.0378056,12,0.9,p9000,0.01026153564453125
1765428802.0378056,12,0.95,p9500,0.015478134155273438
1765428802.0378056,12,0.99,p9900,0.039467811584472656
1765428802.0378056,12,0.999,p9990,0.12403106689453125
1765428802.0378056,12,0.9999,p9999,0.2885932922363281
1765428802.0378056,12,,max,4.29833984375
1765428802.0378056,13,0.9,p9000,0.010644912719726562
1765428802.0378056,13,0.95,p9500,0.016523361206054688
1765428802.0378056,13,0.99,p9900,0.046036720275878906
1765428802.0378056,13,0.999,p9990,0.1479206085205078
1765428802.0378056,13,0.9999,p9999,0.4284477233886719
1765428802.0378056,13,,max,4.798828125
1765428802.0378056,14,0.9,p9000,0.01068878173828125
1765428802.0378056,14,0.95,p9500,0.01659393310546875
1765428802.0378056,14,0.99,p9900,0.050484657287597656
1765428802.0378056,14,0.999,p9990,0.15845489501953125
1765428802.0378056,14,0.9999,p9999,0.3652076721191406
1765428802.0378056,14,,max,5.6689453125
1765428802.0378056,15,0.9,p9000,0.011892318725585938
1765428802.0378056,15,0.95,p9500,0.019115447998046875
1765428802.0378056,15,0.99,p9900,0.06201171875
1765428802.0378056,15,0.999,p9990,0.22485733032226562
1765428802.0378056,15,0.9999,p9999,0.486358642578125
1765428802.0378056,15,,max,6.86328125
1765428802.0378056,16,0.9,p9000,0.012624740600585938
1765428802.0378056,16,0.95,p9500,0.02075958251953125
1765428802.0378056,16,0.99,p9900,0.0653839111328125
1765428802.0378056,16,0.999,p9990,0.23435211181640625
1765428802.0378056,16,0.9999,p9999,1.1578216552734375
1765428802.0378056,16,,max,18.44140625
1765428802.0378056,17,0.9,p9000,0.010768890380859375
1765428802.0378056,17,0.95,p9500,0.01854705810546875
1765428802.0378056,17,0.99,p9900,0.0632476806640625
1765428802.0378056,17,0.999,p9990,0.22801780700683594
1765428802.0378056,17,0.9999,p9999,0.7663421630859375
1765428802.0378056,17,,max,8.47265625
1765428802.0378056,18,0.9,p9000,0.011180877685546875
1765428802.0378056,18,0.95,p9500,0.02028656005859375
1765428802.0378056,18,0.99,p9900,0.073822021484375
1765428802.0378056,18,0.999,p9990,0.24231719970703125
1765428802.0378056,18,0.9999,p9999,0.697723388671875
1765428802.0378056,18,,max,29.875
1765428802.0378056,19,0.9,p9000,0.01219940185546875
1765428802.0378056,19,0.95,p9500,0.021846771240234375
1765428802.0378056,19,0.99,p9900,0.075103759765625
1765428802.0378056,19,0.999,p9990,0.2498493194580078
1765428802.0378056,19,0.9999,p9999,1.2140960693359375
1765428802.0378056,19,,max,15.90625
1765428802.0378056,20,0.9,p9000,0.012887954711914062
1765428802.0378056,20,0.95,p9500,0.0225830078125
1765428802.0378056,20,0.99,p9900,0.0749664306640625
1765428802.0378056,20,0.999,p9990,0.2154560089111328
1765428802.0378056,20,0.9999,p9999,0.5738906860351562
1765428802.0378056,20,,max,6.3056640625
1765428802.0378056,21,0.9,p9000,0.013713836669921875
1765428802.0378056,21,0.95,p9500,0.024200439453125
1765428802.0378056,21,0.99,p9900,0.07844734191894531
1765428802.0378056,21,0.999,p9990,0.21604156494140625
1765428802.0378056,21,0.9999,p9999,0.5258026123046875
1765428802.0378056,21,,max,12.8291015625
1765428802.0378056,22,0.9,p9000,0.013883590698242188
1765428802.0378056,22,0.95,p9500,0.023952484130859375
1765428802.0378056,22,0.99,p9900,0.0736846923828125
1765428802.0378056,22,0.999,p9990,0.21039581298828125
1765428802.0378056,22,0.9999,p9999,0.521270751953125
1765428802.0378056,22,,max,10.556640625
1765428802.0378056,23,0.9,p9000,0.013957977294921875
1765428802.0378056,23,0.95,p9500,0.023708343505859375
1765428802.0378056,23,0.99,p9900,0.0747833251953125
1765428802.0378056,23,0.999,p9990,0.2247447967529297
1765428802.0378056,23,0.9999,p9999,0.5869369506835938
1765428802.0378056,23,,max,11.43359375
1765428802.0378056,24,0.9,p9000,0.013895034790039062
1765428802.0378056,24,0.95,p9500,0.023761749267578125
1765428802.0378056,24,0.99,p9900,0.0745086669921875
1765428802.0378056,24,0.999,p9990,0.20754432678222656
1765428802.0378056,24,0.9999,p9999,0.5251121520996094
1765428802.0378056,24,,max,10.115234375
1765428802.0378056,25,0.9,p9000,0.015325546264648438
1765428802.0378056,25,0.95,p9500,0.027133941650390625
1765428802.0378056,25,0.99,p9900,0.0881805419921875
1765428802.0378056,25,0.999,p9990,0.259429931640625
1765428802.0378056,25,0.9999,p9999,0.7088623046875
1765428802.0378056,25,,max,8.9912109375
1765428802.0378056,26,0.9,p9000,0.017375946044921875
1765428802.0378056,26,0.95,p9500,0.03133392333984375
1765428802.0378056,26,0.99,p9900,0.10299873352050781
1765428802.0378056,26,0.999,p9990,0.3031883239746094
1765428802.0378056,26,0.9999,p9999,0.659698486328125
1765428802.0378056,26,,max,10.4130859375
1765428802.0378056,27,0.9,p9000,0.019321441650390625
1765428802.0378056,27,0.95,p9500,0.0361480712890625
1765428802.0378056,27,0.99,p9900,0.131683349609375
1765428802.0378056,27,0.999,p9990,0.4258918762207031
1765428802.0378056,27,0.9999,p9999,1.184722900390625
1765428802.0378056,27,,max,11.5810546875
1765428802.0378056,28,0.9,p9000,0.0224761962890625
1765428802.0378056,28,0.95,p9500,0.04412841796875
1765428802.0378056,28,0.99,p9900,0.169647216796875
1765428802.0378056,28,0.999,p9990,0.5531997680664062
1765428802.0378056,28,0.9999,p9999,0.97552490234375
1765428802.0378056,28,,max,8.3291015625
1765428802.0378056,29,0.9,p9000,0.027759552001953125
1765428802.0378056,29,0.95,p9500,0.05605316162109375
1765428802.0378056,29,0.99,p9900,0.26807403564453125
1765428802.0378056,29,0.999,p9990,0.6925582885742188
1765428802.0378056,29,0.9999,p9999,2.0592041015625
1765428802.0378056,29,,max,37.9609375
1765428802.0378056,30,0.9,p9000,0.05037689208984375
1765428802.0378056,30,0.95,p9500,0.106353759765625
1765428802.0378056,30,0.99,p9900,0.49420166015625
1765428802.0378056,30,0.999,p9990,1.3466033935546875
1765428802.0378056,30,0.9999,p9999,35.574951171875
1765428802.0378056,30,,max,2255.75
1765428802.0378056,31,0.9,p9000,0.37109375
1765428802.0378056,31,0.95,p9500,0.664794921875
1765428802.0378056,31,0.99,p9900,2.177734375
1765428802.0378056,31,0.999,p9990,8.2557373046875
1765428802.0378056,31,0.9999,p9999,19.081787109375
1765428802.0378056,31,,max,72.3125
1765434535.0956526,0,0.9,p9000,0.003323078155517578
1765434535.0956526,0,0.95,p9500,0.005122184753417969
1765434535.0956526,0,0.99,p9900,0.01668548583984375
1765434535.0956526,0,0.999,p9990,0.1416149139404297
1765434535.0956526,0,0.9999,p9999,1.297088623046875
1765434535.0956526,0,,max,2.23193359375
1765434535.0956526,1,0.9,p9000,0.016353607177734375
1765434535.0956526,1,0.95,p9500,0.025646209716796875
1765434535.0956526,1,0.99,p9900,0.07208251953125
1765434535.0956526,1,0.999,p9990,0.4287376403808594
1765434535.0956526,1,0.9999,p9999,73.58935546875
1765434535.0956526,1,,max,1488.25
1765434535.0956526,2,0.9,p9000,0.002403736114501953
1765434535.0956526,2,0.95,p9500,0.004023551940917969
1765434535.0956526,2,0.99,p9900,0.014722824096679688
1765434535.0956526,2,0.999,p9990,0.0739593505859375
1765434535.0956526,2,0.9999,p9999,0.3393211364746094
1765434535.0956526,2,,max,4.625
1765434535.0956526,3,0.9,p9000,0.00434112548828125
1765434535.0956526,3,0.95,p9500,0.007138729095458984
1765434535.0956526,3,0.99,p9900,0.018856048583984375
1765434535.0956526,3,0.999,p9990,0.05011463165283203
1765434535.0956526,3,0.9999,p9999,0.11882400512695312
1765434535.0956526,3,,max,1.95703125
1765434535.0956526,4,0.9,p9000,0.009336471557617188
1765434535.0956526,4,0.95,p9500,0.015077590942382812
1765434535.0956526,4,0.99,p9900,0.039071083068847656
1765434535.0956526,4,0.999,p9990,0.11328792572021484
1765434535.0956526,4,0.9999,p9999,5.540283203125
1765434535.0956526,4,,max,11.41796875
1765434535.0956526,5,0.9,p9000,0.008989334106445312
1765434535.0956526,5,0.95,p9500,0.013241767883300781
1765434535.0956526,5,0.99,p9900,0.028583526611328125
1765434535.0956526,5,0.999,p9990,0.07100868225097656
1765434535.0956526,5,0.9999,p9999,0.16166305541992188
1765434535.0956526,5,,max,2.65087890625
1765434535.0956526,6,0.9,p9000,0.008510589599609375
1765434535.0956526,6,0.95,p9500,0.01253509521484375
1765434535.0956526,6,0.99,p9900,0.0302276611328125
1765434535.0956526,6,0.999,p9990,0.0897369384765625
1765434535.0956526,6,0.9999,p9999,0.20282363891601562
1765434535.0956526,6,,max,4.7880859375
1765434535.0956526,7,0.9,p9000,0.009912490844726562
1765434535.0956526,7,0.95,p9500,0.014217376708984375
1765434535.0956526,7,0.99,p9900,0.033359527587890625
1765434535.0956526,7,0.999,p9990,0.09751319885253906
1765434535.0956526,7,0.9999,p9999,0.23107528686523438
1765434535.0956526,7,,max,3.78662109375
1765434535.0956526,8,0.9,p9000,0.00998687744140625
1765434535.0956526,8,0.95,p9500,0.014461517333984375
1765434535.0956526,8,0.99,p9900,0.037278175354003906
1765434535.0956526,8,0.999,p9990,0.11173439025878906
1765434535.0956526,8,0.9999,p9999,0.25110435485839844
1765434535.0956526,8,,max,8.9638671875
1765434535.0956526,9,0.9,p9000,0.010162353515625
1765434535.0956526,9,0.95,p9500,0.01515960693359375
1765434535.0956526,9,0.99,p9900,0.03902435302734375
1765434535.0956526,9,0.999,p9990,0.12359428405761719
1765434535.0956526,9,0.9999,p9999,0.2765693664550781
1765434535.0956526,9,,max,6.4921875
1765434535.0956526,10,0.9,p9000,0.010740280151367188
1765434535.0956526,10,0.95,p9500,0.016094207763671875
1765434535.0956526,10,0.99,p9900,0.04367828369140625
1765434535.0956526,10,0.999,p9990,0.13512039184570312
1765434535.0956526,10,0.9999,p9999,0.4862403869628906
1765434535.0956526,10,,max,5.00390625
1765434535.0956526,11,0.9,p9000,0.010919570922851562
1765434535.0956526,11,0.95,p9500,0.017181396484375
1765434535.0956526,11,0.99,p9900,0.04846954345703125
1765434535.0956526,11,0.999,p9990,0.14345741271972656
1765434535.0956526,11,0.9999,p9999,0.3583221435546875
1765434535.0956526,11,,max,6.4365234375
1765434535.0956526,12,0.9,p9000,0.010324478149414062
1765434535.0956526,12,0.95,p9500,0.015718460083007812
1765434535.0956526,12,0.99,p9900,0.045937538146972656
1765434535.0956526,12,0.999,p9990,0.1444416046142578
1765434535.0956526,12,0.9999,p9999,0.3185882568359375
1765434535.0956526,12,,max,3.689453125
