timestamp,layer,percentile,stat,value
1765260625.75527,0,0.9,p9000,0.057281494140625
1765260625.75527,0,0.95,p9500,0.07143147786458333
1765260625.75527,0,0.99,p9900,0.11240641276041667
1765260625.75527,0,0.999,p9990,0.4867299397786458
1765260625.75527,0,0.9999,p9999,1.3252766927083333
1765260625.75527,0,,max,2.052734375
1765260625.75527,1,0.9,p9000,0.2588907877604167
1765260625.75527,1,0.95,p9500,0.3370768229166667
1765260625.75527,1,0.99,p9900,0.7110443115234375
1765260625.75527,1,0.999,p9990,9.581624348958334
1765260625.75527,1,0.9999,p9999,377.6145833333333
1765260625.75527,1,,max,2392.3333333333335
1765260625.75527,2,0.9,p9000,0.08168538411458333
1765260625.75527,2,0.95,p9500,0.101165771484375
1765260625.75527,2,0.99,p9900,0.14632161458333334
1765260625.75527,2,0.999,p9990,0.6839650472005209
1765260625.75527,2,0.9999,p9999,4.118001302083333
1765260625.75527,2,,max,4.296875
1765260625.75527,3,0.9,p9000,0.017878214518229168
1765260625.75527,3,0.95,p9500,0.023554484049479168
1765260625.75527,3,0.99,p9900,0.049153645833333336
1765260625.75527,3,0.999,p9990,0.09409459431966145
1765260625.75527,3,0.9999,p9999,0.14452616373697916
1765260625.75527,3,,max,1.3440755208333333
1765260625.75527,4,0.9,p9000,0.19344075520833334
1765260625.75527,4,0.95,p9500,0.2507527669270833
1765260625.75527,4,0.99,p9900,0.43881479899088544
1765260625.75527,4,0.999,p9990,2.2161458333333335
1765260625.75527,4,0.9999,p9999,6.419270833333333
1765260625.75527,4,,max,9.341145833333334
1765260625.75527,5,0.9,p9000,0.02617645263671875
1765260625.75527,5,0.95,p9500,0.033721923828125
1765260625.75527,5,0.99,p9900,0.071197509765625
1765260625.75527,5,0.999,p9990,0.14288202921549478
1765260625.75527,5,0.9999,p9999,0.67626953125
1765260625.75527,5,,max,2.095703125
1765260625.75527,6,0.9,p9000,0.0242919921875
1765260625.75527,6,0.95,p9500,0.03241729736328125
1765260625.75527,6,0.99,p9900,0.078765869140625
