timestamp,clip_percentile,zero_shift_scale,top_k_layers,ppl,task_metrics
1765257084.4479184,0.95,0.0,1;30;31;4;16;2;19;29,295.13568115234375,arc_challenge.acc=0.418803;arc_challenge.acc_norm=0.358974
1765257439.88117,0.99,0.0,1;30;31;4;16;2;19;29,295.13568115234375,arc_challenge.acc=0.418803;arc_challenge.acc_norm=0.358974
1765257794.301963,0.995,0.0,1;30;31;4;16;2;19;29,295.13568115234375,arc_challenge.acc=0.418803;arc_challenge.acc_norm=0.358974
1765258652.6813765,0.95,0.0,1;30;31;4;16;2;19;29,nan,arc_challenge.acc=0.213675;arc_challenge.acc_norm=0.299145
1765259007.030051,0.99,0.0,1;30;31;4;16;2;19;29,nan,arc_challenge.acc=0.213675;arc_challenge.acc_norm=0.299145
1765259943.9369242,0.95,0.0,1;30;31;4;16;2;19;29,930.7440185546875,arc_challenge.acc=0.222222;arc_challenge.acc_norm=0.282051
1765260976.2919517,1.0,0.0,1;30;31;4;16;2;19;29,294.13214111328125,arc_challenge.acc=0.418803;arc_challenge.acc_norm=0.358974
1765263579.8111756,0.99,0.0,1;30;31;4;29;19;27;0,503.7438049316406,arc_challenge.acc=0.213675;arc_challenge.acc_norm=0.230769
1765264186.2476673,0.99,0.0,1;30;31;4;29;19;27;0,864.6549682617188,arc_challenge.acc=0.247863;arc_challenge.acc_norm=0.307692
1765266035.7111542,0.99,0.0,1;30;31;4;29;19;27;0,987.4203491210938,arc_challenge.acc=0.213675;arc_challenge.acc_norm=0.299145
1765266600.4378173,0.99,0.0,1;30;31;4;29;19;27;0,987.4203491210938,arc_challenge.acc=0.213675;arc_challenge.acc_norm=0.299145
